city,id,cloudiness,country,date,humidity,lat,lng,maxTemp,windSpeed
Shimoda,1852357,0,JP,1584512156,42,34.67,138.95,291.15,5.7
Kodinsk,1503037,97,RU,1584512156,79,58.69,99.18,268.4,7.86
Sri Aman,1735799,75,MY,1584512157,66,1.24,111.46,305.15,1.5
Codrington,2171099,100,AU,1584512157,69,-38.27,141.97,291.7,3.6
Te Anau,2181625,83,NZ,1584512157,71,-45.42,167.72,284.5,4.95
Jizan,105298,75,SA,1584512157,79,17.33,42.67,302.15,1.5
Prince Rupert,6113406,1,CA,1584512108,86,54.32,-130.32,274.15,1
Yumen,1528998,33,CN,1584512158,11,40.28,97.2,288.2,8.02
Sørland,3137469,40,NO,1584512158,71,67.67,12.69,277.15,7.7
Moranbah,6533368,0,AU,1584512158,39,-22,148.05,301.9,8.43
Iquitos,3696183,75,PE,1584512158,94,-3.75,-73.25,296.15,1.5
Fairbanks,5861897,90,US,1584512163,94,64.84,-147.72,273.15,1.04
Nantucket,4944903,1,US,1584512167,70,41.28,-70.1,279.15,5.7
Sakaiminato,1853174,20,JP,1584512167,51,35.55,133.23,289.15,4.6
Gilbués,3398931,41,BR,1584512167,88,-9.83,-45.34,295.6,0.83
Rey Bouba,2222439,100,CM,1584512167,16,8.67,14.18,297.5,0.55
Arrondissement de Toul,2972349,90,FR,1584512167,93,48.67,5.92,280.15,0.8
Gouré,2444219,100,NE,1584512168,12,13.98,10.27,298.15,3.13
Aklavik,5882953,20,CA,1584512168,85,68.22,-135.01,262.15,3.1
Jacobina,3460344,74,BR,1584512168,94,-11.18,-40.52,292.7,1.02
Hanmer Springs,2190299,0,NZ,1584512168,58,-42.52,172.82,286.9,1.02
Husavik,2629833,90,IS,1584512168,94,66.04,-17.34,273.15,11.3
Constitución,3893726,0,CL,1584512169,76,-35.33,-72.42,285.7,1.72
Bilma,2446796,0,NE,1584511985,10,18.69,12.92,294,4.14
Verkhnyaya Inta,1487332,100,RU,1584512169,93,65.98,60.31,268.5,10.02
Novyy Urgal,2047258,100,RU,1584512169,90,51.07,132.56,271.1,0.72
Antalaha,1071296,0,MG,1584512169,80,-14.9,50.28,299.4,2.76
Kumul,1529484,10,CN,1584512170,16,42.8,93.45,287.2,1.66
Sept-Îles,6144312,90,CA,1584511602,100,50.2,-66.38,269.82,2.6
Non Thai,1608131,30,TH,1584512170,47,15.2,102.04,310.37,2.6
Tsogni,2400547,100,GA,1584512170,82,-2.79,10.1,301,3.13
Solnechnyy,2016307,100,RU,1584512170,93,50.72,136.63,271.3,1.64
Nanpiao,2035644,100,CN,1584512171,23,41.1,120.75,291.6,6.27
Arlit,2447513,0,NE,1584512171,9,18.74,7.39,297.7,4.01
Werda,932960,39,BW,1584512171,65,-25.27,23.28,293,5.13
Salinas,5391295,1,US,1584512171,81,36.68,-121.66,281.48,2.1
Port Macquarie,2152659,0,AU,1584512171,56,-31.43,152.92,298.15,4.1
Gao,2457161,13,ML,1584512172,14,16.64,1.64,297.5,2.82
Dali,1814093,0,CN,1584512172,24,25.7,100.18,294,5.95
Port Blair,1259385,61,IN,1584512172,62,11.67,92.75,301.8,4.48
Garzón,3682108,98,CO,1584512172,96,2.2,-75.63,289,0.94
Fare,4034496,100,PF,1584512172,68,-16.7,-151.02,301.9,2.31
Rome,5134295,1,US,1584511936,63,43.21,-75.46,273.15,1.5
George Town,1735106,20,MY,1584512074,59,5.41,100.34,305.15,3.1
Hjelset,3152548,40,NO,1584512173,79,62.78,7.48,276.15,4.1
Katobu,1640972,54,ID,1584512173,79,-4.94,122.53,302.2,1.39
Mitsamiouli,921786,75,KM,1584512173,78,-11.38,43.28,301.15,2.1
Mossamedes,3347019,100,AO,1584512174,78,-15.2,12.15,296.5,3.4
Kushmurun,1519924,0,KZ,1584512174,88,52.45,64.63,270.3,3.15
Makakilo City,5850554,75,US,1584512174,88,21.35,-158.09,297.15,6.2
Inuvik,5983607,20,CA,1584512174,85,68.35,-133.72,262.15,3.1
Ibiporã,3461588,0,BR,1584512174,83,-23.27,-51.05,297.15,0.93
Camaçari,3468031,40,BR,1584512175,78,-12.7,-38.32,301.15,2.1
Ahipara,2194098,0,NZ,1584512175,70,-35.17,173.17,290.5,7.59
Okhotsk,2122605,0,RU,1584512175,77,59.38,143.3,263.6,0.63
Shingū,1847947,40,JP,1584512175,39,33.73,135.98,291.15,3.1
Pochutla,3517970,34,MX,1584512175,78,15.74,-96.47,298.71,6.61
Nome,5870133,90,US,1584512175,92,64.5,-165.41,272.15,6.7
Ponta Delgada,3372783,20,PT,1584511965,76,37.73,-25.67,287.15,1.5
Vallenar,3868633,0,CL,1584512176,88,-28.57,-70.76,285.2,0.56
Wanning,1791779,87,CN,1584512176,71,18.8,110.4,297.8,2.68
Nuuk,3421319,100,GL,1584512177,53,64.18,-51.72,268.15,10.8
Saint-Augustin,6137462,100,CA,1584512177,95,51.23,-58.65,270.6,11.6
Kjøllefjord,779261,75,NO,1584512177,92,70.95,27.35,272.15,5.1
Lorengau,2092164,100,PG,1584512177,80,-2.02,147.27,300.4,5.73
Tual,1623197,77,ID,1584512177,69,-5.67,132.75,301.6,2.21
Nioaque,3456288,23,BR,1584512178,88,-21.14,-55.83,296.5,1.2
Baykit,1510689,100,RU,1584512178,91,61.67,96.37,264.7,5.71
Kautokeino,779330,97,NO,1584512178,80,69.01,23.04,269.1,4.67
Tiksi,2015306,0,RU,1584512178,88,71.69,128.87,239.7,3.5
Peniche,2264923,0,PT,1584512178,67,39.36,-9.38,288.15,7.2
Saint-François,2980080,0,FR,1584512179,93,46.42,3.91,280.93,1
Itarema,3393692,43,BR,1584512179,96,-2.92,-39.92,296.6,1.45
Rocha,3440777,100,UY,1584512179,92,-34.48,-54.33,290.7,3.89
Karamsad,1267862,0,IN,1584512179,27,22.55,72.9,304.15,3.1
Hornepayne,5977046,84,CA,1584512179,94,49.21,-84.77,261.7,1.39
Eydhafushi,1337606,63,MV,1584512180,77,5.1,73.07,302.5,7.92
Östersund,2685750,80,SE,1584512180,68,63.18,14.64,272.15,3.1
Big Spring,5517061,1,US,1584512180,93,32.25,-101.48,288.15,2.6
Flin Flon,5954718,64,CA,1584512103,95,54.77,-101.86,250.5,1.53
Iqaluit,5983720,90,CA,1584512180,92,63.75,-68.51,264.15,3.6
Pangnirtung,6096551,100,CA,1584512181,73,66.15,-65.71,256.3,7.83
Lake Shasta,5571109,90,US,1584512181,93,40.68,-122.37,279.15,2.6
Shenzhen,1795565,40,CN,1584511894,83,22.55,114.07,296.15,2.1
Baruun-Urt,2032614,30,MN,1584512181,69,46.68,113.28,270.2,6.06
Provideniya,4031574,90,RU,1584512181,98,64.38,-173.3,273.15,8
Kaohsiung City,1673820,75,TW,1584512182,61,22.62,120.31,299.15,4.1
Escanaba,4992232,75,US,1584512127,80,45.75,-87.06,274.26,3.51
Thunder Bay,6166142,90,CA,1584512182,67,48.4,-89.32,267.15,1.5
Margate,2643044,40,GB,1584512182,93,51.38,1.39,282.59,4.1
Alice Springs,2077895,0,AU,1584512037,16,-23.7,133.88,308.15,3.6
Lagos,2332453,20,NG,1584512061,94,6.58,3.75,301.15,2.1
Chiang Rai,1153669,0,TH,1584512183,43,19.91,99.83,308.71,3.1
Lakatoro,2136697,75,VU,1584512183,79,-16.1,167.42,302.15,1
Marsh Harbour,3571913,72,BS,1584512184,74,26.54,-77.06,295.1,5.05
Cidreira,3466165,68,BR,1584512184,85,-30.18,-50.21,296.3,10.26
Lucapa,145724,100,AO,1584512184,97,-8.42,20.74,292.2,1.29
Dzilam González,3529654,43,MX,1584512184,81,21.28,-88.93,297.7,7.76
Huilong,1806840,1,CN,1584512184,37,31.81,121.66,297.59,4.02
Caucaia,3402429,0,BR,1584512185,88,-3.74,-38.65,300.93,3.54
Kenai,5866063,90,US,1584512185,92,60.55,-151.26,272.04,2.1
Turukhansk,1488903,100,RU,1584512185,91,65.82,87.98,265,3.57
Half Moon Bay,5354943,40,US,1584512185,87,37.46,-122.43,283.15,1.8
Ballitoville,1021360,31,ZA,1584512185,73,-29.54,31.21,295.37,0.5
Karratha,6620339,0,AU,1584512186,55,-20.74,116.85,305.5,4.65
Muros,3115824,0,ES,1584512186,81,42.78,-9.06,287.04,2.6
Beringovskiy,2126710,99,RU,1584511926,90,63.05,179.32,271.4,2.84
Labuan,1733782,75,MY,1584512186,70,5.28,115.24,305.15,2.6
Sechura,3691954,59,PE,1584512186,89,-5.56,-80.82,296.9,0.26
Vardø,777019,75,NO,1584512187,92,70.37,31.11,270.15,3.6
Faanui,4034551,100,PF,1584512187,70,-16.48,-151.75,301.8,2.53
Sovetskiy,1491230,30,RU,1584512187,70,61.36,63.58,270.1,3.89
Fukumitsu,1863973,20,JP,1584512187,44,36.55,136.87,288.71,6.2
Kananga,214481,100,CD,1584512187,95,-5.9,22.42,294.3,0.69
Vao,2137773,29,NC,1584512188,73,-22.67,167.48,298.1,8.37
Qaqortoq,3420846,61,GL,1584512188,28,60.72,-46.03,265.15,6.7
Sydney Mines,7303783,90,CA,1584512188,97,46.24,-60.22,274.26,8.2
Ilo,3938415,94,PE,1584512188,86,-17.64,-71.34,295.4,1.99
Rodolfo Sánchez Taboada,3996737,14,MX,1584512189,80,31.72,-116.57,285.37,0.89
Eilat,295277,63,IL,1584512189,50,29.56,34.95,286.15,3.1
Mórrope,3694586,90,PE,1584512189,29,-6.54,-80.01,292.15,2.6
Bud,4255151,1,US,1584512189,80,39.45,-86.18,279.82,2.1
Hervey Bay,2146219,90,AU,1584512190,64,-25.3,152.85,298.15,8.2
Clyde River,5924351,90,CA,1584512190,75,70.47,-68.59,246.15,6.7
Kununurra,2068110,40,AU,1584512190,37,-15.77,128.73,309.15,3.6
Vostok,2013279,100,RU,1584512190,87,46.49,135.88,272.7,2.83
Ludvika,2693759,99,SE,1584512190,75,60.15,15.19,278.71,3.6
Asbestovskiy,1511329,65,RU,1584512191,70,57.76,61.4,272.1,4.55
